id,name,category,primary_muscles,description,progression_1,progression_2,progression_3
137,Straight-Arm Press,skill,"[anterior deltoids, chest, core, wrists]","From planche, press upward into handstand with arms remaining straight throughout.",Tuck Planche to Tuck Handstand Press,Straddle Planche to Straddle Handstand Press,Full Planche Press to Handstand
138,Tiger Bend Handstand Push-Up,skill,"[triceps, shoulders, core]","From handstand, lower onto forearms then press back up to full handstand.",Floor Tiger Bend Push-Up,Wall-Assisted Tiger Bend HSPU,Freestanding Tiger Bend HSPU
139,Burpee,explosive,"[chest, shoulders, triceps, quads, glutes, core]","Drop to push-up, perform push-up, jump feet forward, jump up with arms overhead.",Step-Back Burpee (no jump),Standard Burpee,Burpee with Tuck Jump
140,Burpee Pull-Up,explosive,[full body],"Burpee under a bar, then jump to grab bar and perform a pull-up.",Burpee with Jumping Bar Touch,Burpee Pull-Up,Burpee Muscle-Up
141,Depth Jump,explosive,"[quads, glutes, calves]","Step off box, land briefly, then immediately rebound into maximal vertical jump.",Drop Landing (stick landing),Depth Jump from 30cm Box,Depth Jump from 60cm+ Box
142,Bear Crawl,explosive,"[shoulders, core, quads, hip flexors]","On hands and feet with knees hovering, crawl forward with opposite hand-foot pairs.",Static Beast Hold,Standard Forward Bear Crawl,Weighted Bear Crawl
143,Crab Walk,explosive,"[triceps, glutes, hamstrings, core]","Face-up tabletop position, walk forward/backward/sideways.",Static Crab Hold,Crab Walk Forward and Backward,Crab Walk with Toe Touch
144,Front Kickthrough,explosive,"[obliques, shoulders, triceps, hip flexors]","From beast position, lift hand and kick opposite leg under body, rotating to seated position.",Slow Kickthrough with Pause,Alternating Front Kickthrough,Continuous Fast Kickthrough Flow
145,Aztec Push-Up,explosive,"[chest, triceps, core, hip flexors]","Explosive push-up where whole body launches, pike in air touching toes with hands.",Clap Push-Up with Feet Lifting,Superman Push-Up,Full Aztec Push-Up
146,Plyo Dip,explosive,"[triceps, chest, anterior deltoids]","On dip bars, explode upward so hands leave the bars at top.",Explosive Dip (hands stay on bars),Plyo Dip with Brief Hand Release,Plyo Dip with Clap
147,Kip-Up,explosive,"[core, hip flexors, quads, shoulders]","From lying flat, explosively roll and thrust hips to spring onto feet.",Rolling to Squat from Ground,Kip-Up with Hand Push Assist,No-Hand Kip-Up
148,Bar Pullover,explosive,"[core, lats, hip flexors, biceps]","From dead hang, swing legs up and over bar, rotating around to support position.",Leg Raise to Bar,Kipping Pullover,Strict Pullover (no kip)
149,Inchworm,explosive,"[hamstrings, core, shoulders, calves]","From standing, fold forward, walk hands to plank, walk feet to hands, stand.",Inchworm with Bent Knees,Full Inchworm (straight legs),Inchworm with Push-Up
150,Star Jump,explosive,"[quads, glutes, deltoids, core]","From squat, jump explosively extending arms and legs into X shape at peak.",Half Star Jump (arms only),Full Star Jump,Star Jump Burpee
151,Shoulder Dislocate,mobility,"[shoulders, rotator cuff, pecs, lats]","Hold stick/band wide, rotate overhead and behind back in smooth arc.",Band Pass-Throughs (wide grip),Stick Pass-Throughs (narrowing grip),Weighted Pass-Throughs (narrow grip)
152,Wall Angel,mobility,"[scapular stabilizers, thoracic spine, shoulders]","Back against wall, arms in goalpost position, slide up and down maintaining wall contact.",Seated Wall Angels,Standing Wall Angels,"Floor Angels (face-down, no wall)"
153,German Hang,mobility,"[anterior deltoids, pecs, biceps]",Hang from rings with arms behind body in full shoulder extension.,Supinated Hang (feet on ground),German Hang (feet touching floor),"Full German Hang (unsupported, 20s+)"
154,Cat-Cow,mobility,"[thoracic spine, lumbar spine, erector spinae, abdominals]","On all fours, alternate between arching (cow) and rounding (cat) the back.",Slow Cat-Cow (breathing focus),Segmental Cat-Cow with Pauses,Standing Cat-Cow / Loaded Cat-Cow
155,Quadruped Thoracic Rotation,mobility,"[thoracic spine, obliques, intercostals]","From all fours, hand behind head, rotate upper body opening chest toward ceiling.",Hand on Shoulder (small rotation),Hand Behind Head (full rotation with pause),Thread-the-Needle to Full Open Rotation
156,Jefferson Curl,mobility,"[erector spinae, hamstrings, multifidus]","Standing, slowly roll spine down vertebra by vertebra into full forward flexion.",Bodyweight on Flat Ground (partial range),Bodyweight on Elevated Surface,Weighted Jefferson Curl (2-7 kg)
157,Deep Squat Hold,mobility,"[hips, ankles, thoracic spine, quads]","Sit into full-depth squat with feet flat, hold bottom position.",Assisted Squat Hold (holding pole),Unassisted Deep Squat (60s),Weighted Deep Squat Hold
158,90/90 Hip Switch,mobility,"[hip rotators, glutes, hip flexors]","Sit with both knees at 90 degrees, rotate to switch leg positions.",Static 90/90 Hold,90/90 Switches (10 reps per side),Elevated 90/90 (hips lifted during transition)
159,Pigeon Pose,mobility,"[glutes, piriformis, hip external rotators, hip flexors]","Front shin across body, lower hips to floor stretching external rotators and hip flexors.",Supine Figure-4 Stretch,Half Pigeon with Block Support,Full Pigeon (chest flat on floor)
160,Frog Stretch,mobility,"[hip adductors, groin, inner thighs]","On all fours, widen knees maximally, sink hips back and down.",Narrow Frog with Gentle Rocking,Wide Frog Stretch (dynamic rocking),Flat Frog (chest and hips on floor)
161,Couch Stretch,mobility,"[hip flexors, psoas, rectus femoris, quads]","Kneel with back foot against wall, front foot forward, drive hips forward.",Low Lunge Hip Flexor Stretch,Couch Stretch (torso leaning forward),Upright Couch Stretch (torso vertical)
162,Pancake Stretch,mobility,"[adductors, hamstrings, lower back]","Seated with legs wide, hinge forward bringing chest toward floor.",Seated Straddle (gentle forward lean),Straddle Forward Fold (chest approaching floor),Full Pancake (chest flat on floor)
163,Front Split,mobility,"[hamstrings, hip flexors, quads]","One leg forward, one back, lower pelvis toward ground with hips squared.",Low Lunge (30-60s holds),Half Split (blocks under hands),Full Front Split / Oversplit
164,Middle Split,mobility,"[adductors, hamstrings, groin]","Both legs extend sideways, lower pelvis toward ground.",Half Middle Split (one knee bent),Wall Straddle (gravity assist),Full Middle Split on Floor
165,Cobra Stretch,mobility,"[lumbar spine, hip flexors, abdominals]","Lying face-down, press chest up with arms keeping hips on floor.",Baby Cobra (forearms on floor),Full Cobra (arms straight),Seal Stretch (maximum lumbar extension)
166,Wall Ankle Dorsiflexion,mobility,"[calves, achilles tendon]","Foot forward near wall, drive knee over toes keeping heel flat.",Close to Wall (2-3 inches),Medium Distance (4-5 inches),Weighted Knee-to-Wall / Banded Dorsiflexion
167,Wrist Circles,mobility,"[wrist flexors, wrist extensors, forearms]","On all fours, slowly shift bodyweight in circles around wrists.",Kneeling Wrist Circles (minimal weight),Plank-Position Wrist Circles,Plank Wrist Circles on Fingertips
168,Scorpion Stretch,mobility,"[hip flexors, obliques, thoracic spine, lumbar spine]","Lying face-down, swing one leg up and across body toward opposite hand.",Supine Scorpion (face-up),Prone Scorpion (bent knee),"Prone Scorpion (straight leg, touching opposite hand)"
169,World's Greatest Stretch,mobility,"[hip flexors, adductors, hamstrings, thoracic spine]","Multi-step: deep lunge, elbow to floor, thoracic rotation reaching arm skyward.",Spiderman Lunge Only (no rotation),Full Sequence (lunge + rotation + reach),Add Hamstring Straighten + Overhead Reach
170,Side-Lying Windmill,mobility,"[thoracic spine, pecs, anterior shoulder, obliques]","Lie on side with knees at 90, rotate top arm open across body toward floor behind.",Open Book with Partial Rotation,Full Side-Lying Windmill,Windmill with Hold + Light Weight
